orphanet_id,disease_name,gene,mechanism_category,mechanism_detail,gene_addition_compatibility,preferred_modality,evidence_level,evidence_summary,evidence_url,evidence_citation,evidence_status
ORPHA:355,Gaucher disease,GBA1,loss_of_function,Beta-glucocerebrosidase lysosomal enzyme deficiency,conditional,gene_addition_or_cross_correction,direct,GBA deficiency supports replacement logic but neuronopathic disease and tissue access can limit simple systemic correction,https://omim.org/entry/606463,OMIM GBA gene entry,source_linked_needs_review
ORPHA:79258,Glycogen storage disease type Ia,G6PC1,loss_of_function,Glucose-6-phosphatase catalytic subunit deficiency,compatible,liver_kidney_gene_addition,direct,G6PC deficiency is a metabolic enzyme loss where liver-directed expression is a plausible gene-addition strategy,https://omim.org/entry/613742,OMIM G6PC gene entry,source_linked_needs_review
ORPHA:1946,Kohlschutter-Tonz syndrome,ROGDI,loss_of_function,ROGDI loss of function — gene addition is plausible by genetics but molecular function is not fully resolved and disease biology has not been established,conditional,cns_gene_addition_pending_mechanism_validation,direct,Published KTS variants in ROGDI are consistent with loss of function (Schossig 2012) and gene addition is mechanistically plausible. However the molecular function of ROGDI protein is not fully resolved: proposed roles include V-ATPase regulation via the RAVE/Rabconnectin-3 complex and synaptic vesicle biology but no disease-specific in vivo model or gene addition rescue experiment has been published as of 2025. Scoring assumptions (LOF gene addition is sufficient) are unvalidated. Do not interpret the composite score as evidence of clinical tractability without independent confirmation of gene function and therapeutic rationale.,https://pubmed.ncbi.nlm.nih.gov/22482807/,Schossig et al. 2012 Mutations in ROGDI Cause Kohlschutter-Tonz Syndrome,source_checked
ORPHA:487,Krabbe disease,GALC,loss_of_function,Galactocerebrosidase lysosomal enzyme deficiency,conditional,gene_addition_or_hsc_cross_correction,direct,GALC deficiency supports replacement logic but CNS delivery and toxic metabolite biology require disease-specific validation,https://omim.org/entry/606890,OMIM GALC gene entry,source_linked_needs_review
ORPHA:511,Maple syrup urine disease,BCKDHA,loss_of_function,Branched-chain alpha-ketoacid dehydrogenase E1 alpha deficiency,conditional,liver_gene_addition_or_enzyme_complex_rescue,direct,BCKDHA deficiency supports replacement logic but the multi-subunit enzyme complex and CNS metabolic crises make liver-only rescue uncertain,https://omim.org/entry/608348,OMIM BCKDHA gene entry,source_linked_needs_review
ORPHA:512,Metachromatic leukodystrophy,ARSA,loss_of_function,Arylsulfatase A lysosomal enzyme deficiency,compatible,ex_vivo_hsc_or_cns_gene_addition,direct,ARSA deficiency is compatible with gene addition and HSC-mediated enzyme delivery/cross-correction precedent,https://omim.org/entry/607574,OMIM ARSA gene entry,source_linked_needs_review
ORPHA:578,Mucolipidosis type IV,MCOLN1,loss_of_function,TRPML1 lysosomal membrane Ca2+ channel deficiency — cell-autonomous membrane protein NOT a secretable enzyme,conditional,direct_cns_aav_per_cell_delivery,direct,MCOLN1 encodes a lysosomal MEMBRANE CHANNEL (TRP family) not a soluble lysosomal enzyme. Cross-correction via M6P receptor uptake (the mechanism of Libmeldy/ARSA) is physically impossible for a membrane-anchored protein. Every target neuron must individually receive the vector. AAV-based CNS delivery is the appropriate strategy; HSC/LV programs are not transferable precedents for this protein class.,https://omim.org/entry/605248,OMIM MCOLN1 gene entry,source_linked_needs_review
ORPHA:579,Mucopolysaccharidosis type I,IDUA,loss_of_function,Alpha-L-iduronidase lysosomal enzyme deficiency,compatible,gene_addition_or_cross_correction,direct,IDUA enzyme deficiency supports replacement and cross-correction biology,https://omim.org/entry/252800,OMIM MPS I 252800,source_linked_needs_review
ORPHA:580,Mucopolysaccharidosis type II,IDS,loss_of_function,Iduronate-2-sulfatase lysosomal enzyme deficiency,compatible,gene_addition_or_cross_correction,direct,IDS enzyme deficiency supports replacement and cross-correction biology,https://omim.org/entry/300823,OMIM IDS gene entry,source_linked_needs_review
ORPHA:79269,Mucopolysaccharidosis type IIIA (Sanfilippo A),SGSH,loss_of_function,Heparan N-sulfatase lysosomal enzyme deficiency,compatible,cns_gene_addition_or_cross_correction,direct,SGSH enzyme deficiency supports replacement logic but CNS delivery is central for Sanfilippo A,https://omim.org/entry/605270,OMIM SGSH gene entry,source_linked_needs_review
ORPHA:664,Ornithine transcarbamylase deficiency,OTC,loss_of_function,Ornithine transcarbamylase urea-cycle enzyme deficiency,compatible,liver_gene_addition,direct,OTC deficiency is a liver metabolic enzyme loss compatible with hepatocyte gene addition,https://omim.org/entry/300461,OMIM OTC gene entry,source_linked_needs_review
ORPHA:716,Phenylketonuria,PAH,loss_of_function,Phenylalanine hydroxylase enzyme deficiency,compatible,liver_gene_addition,direct,PAH deficiency is a liver enzyme loss compatible with hepatocyte gene addition,https://omim.org/entry/612349,OMIM PAH gene entry,source_linked_needs_review
ORPHA:365,Pompe disease,GAA,loss_of_function,Acid alpha-glucosidase lysosomal enzyme deficiency,conditional,gene_addition_or_secreted_enzyme_rescue,direct,GAA deficiency supports replacement logic but skeletal and cardiac delivery needs broad tissue correction,https://omim.org/entry/606800,OMIM GAA gene entry,source_linked_needs_review
ORPHA:27,Vitamin B12-unresponsive methylmalonic acidemia,MMUT,loss_of_function,Methylmalonyl-CoA mutase — nuclear-encoded mitochondrial MATRIX enzyme requiring post-translational import via intact N-terminal MTS,conditional,liver_aav_with_mts_validation,direct,MUT is a nuclear-encoded mitochondrial matrix enzyme. Nuclear AAV delivery is theoretically feasible but the N-terminal mitochondrial targeting sequence (MTS) must be intact in the therapeutic construct for correct post-translational import into the matrix. MTS functionality and import efficiency must be validated experimentally before vector precedent scores can be applied. Liver-directed AAV programs in development (e.g. NCT03721861) confirm the approach is viable but disease-specific construct validation is required.,https://omim.org/entry/609058,OMIM MUT gene entry,source_linked_needs_review
ORPHA:906,Wiskott-Aldrich syndrome,WAS,loss_of_function,WASP deficiency in hematopoietic cells,compatible,ex_vivo_hsc_gene_addition,direct,WAS loss of function is compatible with autologous hematopoietic stem-cell gene addition,https://omim.org/entry/300392,OMIM WAS gene entry,source_linked_needs_review
ORPHA:43,X-linked adrenoleukodystrophy,ABCD1,loss_of_function,Peroxisomal ABCD1 transporter deficiency,conditional,ex_vivo_hsc_gene_addition,direct,ABCD1 deficiency supports replacement logic but cerebral inflammatory disease relies on hematopoietic and CNS disease biology,https://omim.org/entry/300371,OMIM ABCD1 gene entry,source_linked_needs_review
ORPHA:596,X-linked myotubular myopathy,MTM1,loss_of_function,Myotubularin deficiency in skeletal muscle,compatible,muscle_gene_addition,direct,MTM1 loss of function is compatible with muscle-directed gene addition but dose toxicity must be reviewed,https://omim.org/entry/300415,OMIM MTM1 gene entry,source_linked_needs_review
ORPHA:792,X-linked retinoschisis,RS1,loss_of_function,Retinoschisin deficiency affecting retinal architecture,compatible,retinal_gene_addition,direct,RS1 deficiency supports retinal gene addition if target retinal structure remains treatable,https://omim.org/entry/300839,OMIM RS1 gene entry,source_linked_needs_review
ORPHA:138,CHARGE syndrome,CHD7,haploinsufficiency,Loss of one functional CHD7 allele reduces chromatin remodeller dosage below the threshold needed for normal embryonic development; gene addition in principle restores dosage but CHD7 is large (7950bp) and developmental timing and cell-level expression requirements are complex,conditional,gene_addition_haploinsufficiency_rescue,direct,Vissers et al. (2004 Nat Genet PMID 15300250) identified de novo CHD7 mutations and deletions confirming haploinsufficiency as the pathogenic mechanism; conditional because CHD7 CDS approaches LV capacity limits and cell-level transgene dosage must be carefully controlled,https://pubmed.ncbi.nlm.nih.gov/15300250/,Vissers et al. 2004 Nat Genet PMID 15300250,source_checked
ORPHA:636,Neurofibromatosis type 1,NF1,haploinsufficiency,Germline NF1 mutation reduces neurofibromin tumour suppressor dosage; subsequent somatic loss of the wild-type allele in individual cells initiates benign neurofibromas; gene addition cannot prevent independent somatic second-hit events across the lifetime of the patient,conditional,gene_addition_tumour_suppressor_rescue,direct,Serra et al. (1997 Am J Hum Genet PMID 9326316) confirmed biallelic NF1 inactivation in neurofibromas by LOH analysis demonstrating the two-hit mechanism; gene addition is conditional because somatic second hits in independent cells cannot be globally prevented by a single-dose systemic vector,https://pubmed.ncbi.nlm.nih.gov/9326316/,Serra et al. 1997 Am J Hum Genet PMID 9326316,source_checked
ORPHA:95,Friedreich ataxia,FXN,repeat_expansion_silencing,GAA trinucleotide repeat expansion in FXN intron 1 induces heterochromatin formation with H3K9me3 and DNA hypermethylation silencing frataxin transcription; the FXN protein coding sequence is structurally normal so a transgenic cDNA (without the expanded intron) can restore frataxin expression,conditional,frataxin_gene_addition_or_epigenetic_derepression,direct,Campuzano et al. (1996 Science PMID 8596916) identified the intronic GAA expansion; Al-Mahdawi et al. (2008 Hum Mol Genet PMID 18045775) characterised the heterochromatin mechanism; FXN cDNA gene addition is actively pursued clinically because the normal frataxin protein sequence is preserved,https://pubmed.ncbi.nlm.nih.gov/8596916/,Campuzano et al. 1996 Science PMID 8596916; Al-Mahdawi et al. 2008 Hum Mol Genet PMID 18045775,source_checked
ORPHA:805,Tuberous sclerosis complex,TSC1,haploinsufficiency,Germline TSC2 mutation plus somatic second-hit loss of the wild-type allele drives mTORC1 hyperactivation and hamartoma formation in multiple tissues; gene addition addresses the haploinsufficient state but cannot prevent independent somatic second-hit events in susceptible cells throughout the body,conditional,gene_addition_tumour_suppressor_rescue,direct,Henske et al. (1995 Genes Chromosomes Cancer PMID 7547639) demonstrated LOH at the TSC2 locus in angiomyolipomas confirming two-hit tumour suppressor mechanism; gene addition is conditional because systemic delivery cannot prevent the many independent somatic second-hit events that initiate individual hamartomas,https://pubmed.ncbi.nlm.nih.gov/7547639/,Henske et al. 1995 Genes Chromosomes Cancer PMID 7547639,source_checked
ORPHA:778,Rett syndrome,MECP2,haploinsufficiency,X-linked haploinsufficiency of MECP2 methyl-CpG binding protein 2; gene addition is dosage-sensitive because MECP2 duplication (three copies) causes a distinct severe neurological disease in males — therapeutic window for expression is narrow,conditional,aav9_cns_gene_addition_with_dosage_control,direct,Amir RE et al. (1999 Nat Genet PMID 10508514) identified MECP2 as the causal gene; Van Esch H et al. (2005 Am J Hum Genet PMID 16080119) showed MECP2 duplication causes a separate severe disease — any AAV-MECP2 construct must use a regulated or low-expression promoter to stay within the narrow therapeutic dose window,https://pubmed.ncbi.nlm.nih.gov/10508514/,Amir RE et al. 1999 Nat Genet PMID 10508514; Van Esch H et al. 2005 Am J Hum Genet PMID 16080119,source_checked
ORPHA:908,Fragile X syndrome,FMR1,repeat_expansion_silencing,CGG trinucleotide repeat expansion (>200 repeats) in the FMR1 5-prime UTR triggers de novo CpG methylation and transcriptional silencing; the FMR1 protein coding sequence is structurally normal when expressed,conditional,aav_cns_fmr1_cdna_addition,direct,Liu XS et al. (2018 Cell PMID 29456084) demonstrated methylation-dependent silencing of the FMR1 locus by the CGG repeat; FMR1 cDNA addition (lacking the expanded repeat-containing UTR) bypasses the silenced endogenous allele and is not subject to re-silencing — same logic as FXN in Friedreich ataxia,https://pubmed.ncbi.nlm.nih.gov/29456084/,Liu XS et al. 2018 Cell PMID 29456084,source_checked
ORPHA:98878,Hemophilia A,F8,loss_of_function,Factor VIII deficiency from pathogenic F8 variants; liver-directed F8 expression is an approved gene-addition precedent (Roctavian),compatible,gene_addition_or_factor_expression,direct,BioMarin Roctavian (valoctocogene roxaparvovec) approved for Hemophilia A; AAV5 liver-directed F8 expression precedent,https://omim.org/entry/306700,OMIM Hemophilia A 306700,needs_user_fact_check
ORPHA:586,Cystic fibrosis,CFTR,loss_of_function,CFTR chloride channel dysfunction; gene addition must achieve sufficient cell-surface expression in airway epithelium,conditional,airway_gene_addition,direct,CFTR LOF supports gene addition logic; lung delivery and transient episomal expression in cycling airway epithelium are the main challenges,https://omim.org/entry/219700,OMIM CFTR 219700,needs_user_fact_check
ORPHA:141,Canavan disease,ASPA,loss_of_function,Aspartoacylase enzyme deficiency leads to N-acetylaspartate accumulation and CNS white matter destruction,compatible,cns_gene_addition,direct,ASPA LOF supports CNS-directed gene addition; clinical AAV trials ongoing,https://omim.org/entry/271900,OMIM ASPA 271900,needs_user_fact_check
ORPHA:79241,Biotinidase deficiency,BTD,loss_of_function,Biotinidase enzyme deficiency prevents biotin recycling; liver-expressed BTD deficiency supports systemic gene addition,compatible,liver_gene_addition,direct,BTD LOF is a metabolic enzyme deficiency compatible with liver-directed gene addition,https://omim.org/entry/253260,OMIM BTD 253260,needs_user_fact_check
ORPHA:845,Tay-Sachs disease,HEXA,loss_of_function,Beta-hexosaminidase alpha subunit deficiency causes GM2 ganglioside accumulation in neurons,conditional,cns_gene_addition_or_cross_correction,direct,HEXA LOF supports gene addition; CNS delivery and heterodimer assembly with HEXB subunit are key considerations,https://omim.org/entry/272800,OMIM HEXA 272800,needs_user_fact_check
ORPHA:905,Wilson disease,ATP7B,loss_of_function,ATP7B copper-transporting ATPase deficiency causes hepatic and CNS copper accumulation,conditional,liver_gene_addition,direct,ATP7B LOF supports liver-directed gene addition; large CDS (~4.3 kb) fits within AAV capacity,https://omim.org/entry/277900,OMIM ATP7B 277900,needs_user_fact_check
ORPHA:213,Nephropathic cystinosis,CTNS,loss_of_function,Cystinosin lysosomal cystine transporter deficiency — membrane protein; per-cell delivery required across kidney and multiple organs,conditional,kidney_or_systemic_gene_addition,direct,CTNS encodes a lysosomal membrane transporter; cross-correction via M6P uptake is not applicable — per-cell delivery needed in target tissues,https://omim.org/entry/219800,OMIM CTNS 219800,needs_user_fact_check
ORPHA:618891,Chronic neurovisceral acid sphingomyelinase deficiency (Niemann-Pick A/B),SMPD1,loss_of_function,"Acid sphingomyelinase deficiency causes sphingomyelin accumulation in liver, spleen, lung, and CNS",conditional,liver_or_cns_gene_addition_or_cross_correction,direct,SMPD1 is a secreted lysosomal enzyme; cross-correction may be feasible for visceral disease but CNS involvement complicates single-compartment delivery,https://omim.org/entry/607616,OMIM SMPD1 607616,needs_user_fact_check
ORPHA:646,Niemann-Pick disease type C,NPC1,loss_of_function,NPC1 lysosomal cholesterol transporter deficiency — large membrane protein; per-cell delivery required,conditional,cns_gene_addition,direct,NPC1 is a large (~1.3 kb) lysosomal membrane protein; not secretable; CNS delivery is the primary challenge,https://omim.org/entry/257220,OMIM NPC1 257220,needs_user_fact_check
ORPHA:912,Zellweger syndrome,PEX1,loss_of_function,PEX1 peroxisome biogenesis factor deficiency; most severe peroxisome biogenesis disorder — multisystem,conditional,liver_cns_gene_addition,direct,PEX1 LOF supports gene addition but broad multisystem disease and neonatal severity limit treatment window,https://omim.org/entry/214100,OMIM PEX1 214100,needs_user_fact_check
ORPHA:93598,Primary hyperoxaluria type 1,AGXT,loss_of_function,Alanine-glyoxylate aminotransferase deficiency — nuclear-encoded peroxisomal enzyme requiring PTS1 signal for import,conditional,liver_gene_addition,direct,AGXT LOF supports liver-directed gene addition; peroxisomal targeting signal must be intact in the therapeutic construct,https://omim.org/entry/259900,OMIM AGXT 259900,needs_user_fact_check
ORPHA:886,Usher syndrome type 1B,MYO7A,loss_of_function,MYO7A myosin VIIA deficiency causing combined deafblindness; large CDS (~6.6 kb) exceeds single-AAV capacity,conditional,dual_aav_or_lv_retinal_cochlear_delivery,direct,MYO7A LOF supports gene addition logic but oversized CDS requires dual-AAV or lentiviral strategies for retinal and cochlear delivery,https://omim.org/entry/276900,OMIM MYO7A 276900,needs_user_fact_check
