orphanet_id,disease_name,gene,mechanism_category,mechanism_detail,gene_addition_compatibility,preferred_modality,evidence_level,evidence_summary,evidence_url,evidence_citation,evidence_status
ORPHA:511,Maple syrup urine disease,BCKDHA,loss_of_function,Branched-chain alpha-ketoacid dehydrogenase E1 alpha deficiency,conditional,liver_gene_addition_or_enzyme_complex_rescue,direct,BCKDHA deficiency supports replacement logic but the multi-subunit enzyme complex and CNS metabolic crises make liver-only rescue uncertain,https://omim.org/entry/608348,OMIM BCKDHA gene entry,source_linked_needs_review
ORPHA:512,Metachromatic leukodystrophy,ARSA,loss_of_function,Arylsulfatase A lysosomal enzyme deficiency,compatible,ex_vivo_hsc_or_cns_gene_addition,direct,ARSA deficiency is compatible with gene addition and HSC-mediated enzyme delivery/cross-correction precedent,https://omim.org/entry/607574,OMIM ARSA gene entry,source_linked_needs_review
ORPHA:578,Mucolipidosis type IV,MCOLN1,loss_of_function,TRPML1 lysosomal membrane channel deficiency,conditional,cell_autonomous_gene_addition,direct,MCOLN1 loss supports gene addition but membrane-channel biology is cell-autonomous and not a strong cross-correction case,https://omim.org/entry/605248,OMIM MCOLN1 gene entry,source_linked_needs_review
ORPHA:579,Mucopolysaccharidosis type I,IDUA,loss_of_function,Alpha-L-iduronidase lysosomal enzyme deficiency,compatible,gene_addition_or_cross_correction,direct,IDUA enzyme deficiency supports replacement and cross-correction biology,https://omim.org/entry/252800,OMIM MPS I 252800,source_linked_needs_review
ORPHA:580,Mucopolysaccharidosis type II,IDS,loss_of_function,Iduronate-2-sulfatase lysosomal enzyme deficiency,compatible,gene_addition_or_cross_correction,direct,IDS enzyme deficiency supports replacement and cross-correction biology,https://omim.org/entry/300823,OMIM IDS gene entry,source_linked_needs_review
ORPHA:79269,Mucopolysaccharidosis type IIIA (Sanfilippo A),SGSH,loss_of_function,Heparan N-sulfatase lysosomal enzyme deficiency,compatible,cns_gene_addition_or_cross_correction,direct,SGSH enzyme deficiency supports replacement logic but CNS delivery is central for Sanfilippo A,https://omim.org/entry/605270,OMIM SGSH gene entry,source_linked_needs_review
ORPHA:664,Ornithine transcarbamylase deficiency,OTC,loss_of_function,Ornithine transcarbamylase urea-cycle enzyme deficiency,compatible,liver_gene_addition,direct,OTC deficiency is a liver metabolic enzyme loss compatible with hepatocyte gene addition,https://omim.org/entry/300461,OMIM OTC gene entry,source_linked_needs_review
ORPHA:716,Phenylketonuria,PAH,loss_of_function,Phenylalanine hydroxylase enzyme deficiency,compatible,liver_gene_addition,direct,PAH deficiency is a liver enzyme loss compatible with hepatocyte gene addition,https://omim.org/entry/612349,OMIM PAH gene entry,source_linked_needs_review
ORPHA:365,Pompe disease,GAA,loss_of_function,Acid alpha-glucosidase lysosomal enzyme deficiency,conditional,gene_addition_or_secreted_enzyme_rescue,direct,GAA deficiency supports replacement logic but skeletal and cardiac delivery needs broad tissue correction,https://omim.org/entry/606800,OMIM GAA gene entry,source_linked_needs_review
ORPHA:309,Salla disease,SLC17A5,loss_of_function,Sialin lysosomal transporter deficiency,conditional,cell_autonomous_gene_addition,direct,SLC17A5 transporter deficiency supports replacement logic but membrane transporter biology is mostly cell-autonomous,https://omim.org/entry/604322,OMIM SLC17A5 gene entry,source_linked_needs_review
ORPHA:27,Vitamin B12-unresponsive methylmalonic acidemia,MUT,loss_of_function,Methylmalonyl-CoA mutase mitochondrial enzyme deficiency,conditional,liver_gene_addition_or_mitochondrial_enzyme_rescue,direct,MUT deficiency supports replacement logic but mitochondrial enzyme import and multi-system metabolic disease require validation,https://omim.org/entry/609058,OMIM MUT gene entry,source_linked_needs_review
ORPHA:906,Wiskott-Aldrich syndrome,WAS,loss_of_function,WASP deficiency in hematopoietic cells,compatible,ex_vivo_hsc_gene_addition,direct,WAS loss of function is compatible with autologous hematopoietic stem-cell gene addition,https://omim.org/entry/300392,OMIM WAS gene entry,source_linked_needs_review
ORPHA:43,X-linked adrenoleukodystrophy,ABCD1,loss_of_function,Peroxisomal ABCD1 transporter deficiency,conditional,ex_vivo_hsc_gene_addition,direct,ABCD1 deficiency supports replacement logic but cerebral inflammatory disease relies on hematopoietic and CNS disease biology,https://omim.org/entry/300371,OMIM ABCD1 gene entry,source_linked_needs_review
ORPHA:596,X-linked myotubular myopathy,MTM1,loss_of_function,Myotubularin deficiency in skeletal muscle,compatible,muscle_gene_addition,direct,MTM1 loss of function is compatible with muscle-directed gene addition but dose toxicity must be reviewed,https://omim.org/entry/300415,OMIM MTM1 gene entry,source_linked_needs_review
ORPHA:792,X-linked retinoschisis,RS1,loss_of_function,Retinoschisin deficiency affecting retinal architecture,compatible,retinal_gene_addition,direct,RS1 deficiency supports retinal gene addition if target retinal structure remains treatable,https://omim.org/entry/300839,OMIM RS1 gene entry,source_linked_needs_review
