orphanet_id,disease_name,gene,inheritance,primary_tissues,prevalence,omim_ids,cohort_role,manual_fact_check_status,source_url,notes
ORPHA:324,Fabry disease,GLA,X-linked dominant,liver; kidney; heart; CNS,1-5/10000,301500,pilot_cohort,needs_user_fact_check,https://www.orpha.net/en/disease/detail/324,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort
ORPHA:355,Gaucher disease,GBA,Autosomal recessive,hematopoietic; liver; CNS,1-9/100000,230800,pilot_cohort,needs_user_fact_check,https://www.orpha.net/en/disease/detail/355,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort
ORPHA:79258,Glycogen storage disease type Ia,G6PC,Autosomal recessive,liver; kidney,1-9/100000,232200,pilot_cohort,needs_user_fact_check,https://www.orpha.net/en/disease/detail/79258,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort
ORPHA:1946,Kohlschutter-Tonz syndrome,ROGDI,Autosomal recessive,CNS,<1/1000000,226750,pilot_cohort,needs_user_fact_check,https://www.orpha.net/en/disease/detail/1946,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort
ORPHA:487,Krabbe disease,GALC,Autosomal recessive,CNS,1-9/100000,245200,pilot_cohort,needs_user_fact_check,https://www.orpha.net/en/disease/detail/487,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort
ORPHA:511,Maple syrup urine disease,BCKDHA,Autosomal recessive,liver; CNS,1-9/100000,248600,pilot_cohort,needs_user_fact_check,https://www.orpha.net/en/disease/detail/511,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort
ORPHA:512,Metachromatic leukodystrophy,ARSA,Autosomal recessive,CNS,1-9/100000,250100,pilot_cohort,needs_user_fact_check,https://www.orpha.net/en/disease/detail/512,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort
ORPHA:578,Mucolipidosis type IV,MCOLN1,Autosomal recessive,CNS; retina,<1/1000000,252650,pilot_cohort,needs_user_fact_check,https://www.orpha.net/en/disease/detail/578,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort
ORPHA:579,Mucopolysaccharidosis type I,IDUA,Autosomal recessive,CNS; liver,1-9/100000,607014,pilot_cohort,needs_user_fact_check,https://www.orpha.net/en/disease/detail/579,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort
ORPHA:580,Mucopolysaccharidosis type II,IDS,X-linked recessive,CNS; liver,1-9/100000,309900,pilot_cohort,needs_user_fact_check,https://www.orpha.net/en/disease/detail/580,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort
ORPHA:79269,Mucopolysaccharidosis type IIIA (Sanfilippo A),SGSH,Autosomal recessive,CNS,1-9/100000,252900,pilot_cohort,needs_user_fact_check,https://www.orpha.net/en/disease/detail/79269,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort
ORPHA:664,Ornithine transcarbamylase deficiency,OTC,X-linked recessive,liver; CNS,1-9/100000,311250,pilot_cohort,needs_user_fact_check,https://www.orpha.net/en/disease/detail/664,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort
ORPHA:716,Phenylketonuria,PAH,Autosomal recessive,liver; CNS,1-5/10000,261600,pilot_cohort,needs_user_fact_check,https://www.orpha.net/en/disease/detail/716,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort
ORPHA:365,Pompe disease,GAA,Autosomal recessive,muscle; heart,1-9/100000,232300,pilot_cohort,needs_user_fact_check,https://www.orpha.net/en/disease/detail/365,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort
ORPHA:309,Salla disease,SLC17A5,Autosomal recessive,CNS,<1/1000000,604369,pilot_cohort,needs_user_fact_check,https://www.orpha.net/en/disease/detail/309,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort
ORPHA:27,Vitamin B12-unresponsive methylmalonic acidemia,MUT,Autosomal recessive,liver; CNS,1-9/100000,251000,pilot_cohort,needs_user_fact_check,https://www.orpha.net/en/disease/detail/27,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort
ORPHA:906,Wiskott-Aldrich syndrome,WAS,X-linked recessive,hematopoietic,1-9/1000000,301000,pilot_cohort,needs_user_fact_check,https://www.orpha.net/en/disease/detail/906,ex vivo HSC/lentiviral precedent relevance
ORPHA:43,X-linked adrenoleukodystrophy,ABCD1,X-linked recessive,CNS,1-9/100000,300100,pilot_cohort,needs_user_fact_check,https://www.orpha.net/en/disease/detail/43,lentiviral HSC/CNS leukodystrophy precedent relevance
ORPHA:596,X-linked myotubular myopathy,MTM1,X-linked recessive,muscle,1-9/100000,310400,pilot_cohort,needs_user_fact_check,https://www.orpha.net/en/disease/detail/596,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort
ORPHA:792,X-linked retinoschisis,RS1,X-linked recessive,retina,1-5/10000,312700,pilot_cohort,needs_user_fact_check,https://www.orpha.net/en/disease/detail/792,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort
ORPHA:778,Rett syndrome,MECP2,X-linked dominant,CNS,1-5/10000,312750,non_lof_haploinsufficiency,source_checked,https://www.orpha.net/en/disease/detail/778,X-linked haploinsufficiency of MECP2; gene addition conditional (MECP2 duplication causes distinct disease — dosage window is narrow); replaces Huntington as non-LOF stress test
ORPHA:1306,Dravet syndrome,SCN1A,Autosomal dominant,CNS,1-9/100000,607208,non_lof_haploinsufficiency,source_checked,https://www.orpha.net/en/disease/detail/1306,Haploinsufficiency of Nav1.1 (SCN1A) in inhibitory interneurons; gene addition conditional (cell-type-specific expression required)
ORPHA:908,Fragile X syndrome,FMR1,X-linked dominant,CNS,1-5/10000,300624,non_lof_repeat_expansion,source_checked,https://www.orpha.net/en/disease/detail/908,CGG repeat expansion silences FMR1 by methylation; cDNA addition bypasses silenced allele; FMR1 protein sequence is normal
ORPHA:72,Angelman syndrome,UBE3A,Autosomal dominant,CNS,1-5/10000,105830,non_lof_imprinting,source_checked,https://www.orpha.net/en/disease/detail/72,Maternal UBE3A lost; paternal allele silenced in neurons by antisense transcript; AAV transgene restores neuronal UBE3A independently
ORPHA:163934,CDKL5 deficiency disorder,CDKL5,X-linked dominant,CNS,<1/1000000,300672,non_lof_haploinsufficiency,source_checked,https://www.orpha.net/en/disease/detail/163934,X-linked haploinsufficiency of CDKL5 kinase; AAV9-CDKL5 in active clinical development; conditional due to isoform dosage sensitivity
ORPHA:247770,GATA2 deficiency,GATA2,Autosomal dominant,hematopoietic,<1/1000000,137295,non_lof_haploinsufficiency,source_checked,https://www.orpha.net/en/disease/detail/247770,Haploinsufficiency of GATA2 transcription factor; ex vivo HSC gene addition is the rational approach
ORPHA:138,CHARGE syndrome,CHD7,Autosomal dominant,CNS; heart,1-9/100000,214800,non_lof_haploinsufficiency,needs_user_fact_check,https://www.orpha.net/en/disease/detail/138,haploinsufficiency; gene addition conditionally compatible; tests chromatin remodeller dosage sensitivity
ORPHA:636,Neurofibromatosis type 1,NF1,Autosomal dominant,CNS; peripheral nerve,1-5/1000,162200,non_lof_haploinsufficiency,needs_user_fact_check,https://www.orpha.net/en/disease/detail/636,haploinsufficiency tumour suppressor; gene addition conditionally compatible; somatic complexity
ORPHA:95,Friedreich ataxia,FXN,Autosomal recessive,CNS; heart,1-9/100000,229300,non_lof_repeat_expansion,needs_user_fact_check,https://www.orpha.net/en/disease/detail/95,GAA repeat expansion silencing frataxin; gene addition conditionally compatible; tests epigenetic silencing scoring
ORPHA:805,Tuberous sclerosis complex,TSC2,Autosomal dominant,CNS; kidney,1-5/10000,613254,non_lof_haploinsufficiency,needs_user_fact_check,https://www.orpha.net/en/disease/detail/805,haploinsufficiency mTOR tumour suppressor; gene addition conditionally compatible; tests somatic second-hit complexity
