Front	Back	Tags
What promoter is recommended for the first ROGDI CNS proof of concept?	hSYN1, a compact human synapsin-1 promoter for neuron-biased expression.	ROGDI nano-rare-GT Construct_design
Why use a neuron-biased promoter like hSYN1 first?	It matches the CNS objective and may reduce unnecessary peripheral overexpression.	ROGDI nano-rare-GT Construct_design
What cargo would the first-pass ROGDI construct carry?	Sequence-verified human ROGDI Q9GZN7 cDNA.	ROGDI nano-rare-GT Construct_design
What routes are considered for CNS-prioritized ROGDI delivery?	Early-life systemic IV or intrathecal delivery, selected after biodistribution and toxicity comparison.	ROGDI nano-rare-GT Construct_design
Why is a simple enzyme activity assay not enough for ROGDI?	ROGDI is not being treated as a simple catalytic enzyme. It likely works through localization, complex interaction, and organelle/synaptic biology.	ROGDI nano-rare-GT Potency_assays
What should a ROGDI potency assay package measure?	Expression, intracellular localization, Rabconnectin-3 or complex interaction, V-ATPase/acidification readouts, and cell-based rescue.	ROGDI nano-rare-GT Potency_assays
What patient-cell model is proposed for early ROGDI testing?	Patient-derived iPSC neurons, with ameloblast-lineage or dental organoid assays where possible.	ROGDI nano-rare-GT Potency_assays
What is milestone 1 in the ROGDI preclinical strategy?	Source-lock and construct design: reconfirm Q9GZN7, lock transcript/cDNA convention, sequence-verify cDNA, and avoid stale annotations.	ROGDI nano-rare-GT Preclinical_plan
What is milestone 2 in the ROGDI preclinical strategy?	Patient-cell models: generate disease-relevant cells, confirm reduced or absent ROGDI, and define disease phenotypes.	ROGDI nano-rare-GT Preclinical_plan
What is milestone 3 in the ROGDI preclinical strategy?	Vector expression and potency: produce AAV9-hSYN1-ROGDI, confirm expression/localization, measure mechanism-linked rescue, and compare doses.	ROGDI nano-rare-GT Preclinical_plan
What is milestone 4 in the ROGDI preclinical strategy?	Animal proof of concept: use a validated Rogdi-deficient model if available and assess biodistribution, expression, seizure burden, survival, behavior, and safety.	ROGDI nano-rare-GT Preclinical_plan
What is milestone 5 in the ROGDI preclinical strategy?	IND-enabling package: release assays, potency assays, GLP toxicology, biodistribution, and early regulator engagement.	ROGDI nano-rare-GT Preclinical_plan
What is the risk called when AAV does not reach enough affected cells?	Cell-autonomous delivery failure.	ROGDI nano-rare-GT Risks
How should cell-autonomous delivery failure be mitigated?	Quantify direct neuronal transduction and do not assume cross-correction.	ROGDI nano-rare-GT Risks
What is the dental/CNS mismatch risk?	A brain-focused therapy may not fix tooth enamel disease, and a dental-focused therapy will not rescue the brain.	ROGDI nano-rare-GT Risks
What is the main overexpression concern for ROGDI?	Stoichiometric imbalance, mislocalization, or disrupted protein-complex assembly.	ROGDI nano-rare-GT Risks
What AAV safety issues should be monitored?	Anti-AAV immunity, liver toxicity, CNS inflammation, and dorsal root ganglion toxicity.	ROGDI nano-rare-GT Risks
Which ROGDI score is the strongest in the framework and why?	Size compatibility, because the ROGDI coding sequence is very small compared with the AAV packaging limit.	ROGDI nano-rare-GT Scoring
What composite score does the deep-dive give ROGDI approximately?	About 0.62 in the current unweighted v0.2 implementation.	ROGDI nano-rare-GT Scoring
What is the ROGDI gate status?	PASS for size compatibility.	ROGDI nano-rare-GT Scoring
Why is tissue tropism not scored as very high for ROGDI?	AAV9 can support a CNS strategy, but enamel-forming tissues remain hard to reach and timing-limited.	ROGDI nano-rare-GT Scoring
Name three green-light criteria for ROGDI.	Confirmed Q9GZN7/ROGDI identity, correct expression/localization in patient neurons, mechanism-linked cell rescue, animal CNS benefit at tolerable dose, and regulatory acceptance of potency logic.	ROGDI nano-rare-GT Go_no_go
Name three kill criteria for ROGDI.	Failure to express or localize ROGDI, no functional rescue despite expression, unacceptable toxicity, inadequate CNS biodistribution, or potency assays that cannot be linked to disease mechanism.	ROGDI nano-rare-GT Go_no_go
What is the first reusable step when applying this framework to another disease?	Lock the disease, gene, and protein identity using trusted source IDs before scoring or designing a vector.	ROGDI nano-rare-GT Reusable_workflow
What key facts should be collected for any new disease?	Disease ID, gene ID, protein ID, inheritance, mechanism, clinical features, target tissues, protein size, localization, secretion status, existing treatments, and source links.	ROGDI nano-rare-GT Reusable_workflow
What is the main lesson of the corrected ROGDI audit?	A small gene can still be technically demanding if the protein is intracellular, non-secreted, localization-sensitive, and affects hard-to-reach tissues.	ROGDI nano-rare-GT Reusable_workflow
